2022-04-07 09:50:57,545 ============================================================
2022-04-07 09:50:57,549 Loading data...
2022-04-07 09:50:57,551 Already preprocessed Training Data Part 1. Loading now...
2022-04-07 09:50:57,589 Already preprocessed Training Data Part2. Loading now...
2022-04-07 09:50:57,598 Already preprocessed Training Data Part3. Loading now...
2022-04-07 09:50:57,606 Already preprocessed this configuration. Loading now...
2022-04-07 09:57:16,390 Training Images: torch.Size([240, 240, 54560])
2022-04-07 09:57:16,391 Training Labels: torch.Size([240, 240, 54560])
2022-04-07 09:57:16,391 Validation Images: torch.Size([240, 240, 12400])
2022-04-07 09:57:16,391 Validation Labels: torch.Size([240, 240, 12400])
2022-04-07 09:57:16,391 ============================================================
2022-04-07 09:57:16,468 17 iterations per epoch. 119351 max iterations 
  0%|                                         | 0/140 [00:00<?, ?it/s]EPOCH: 0
2022-04-07 09:58:41,793 iteration 65 : loss : 0.476749, loss_ce: 0.317871
2022-04-07 09:58:42,881 iteration 66 : loss : 0.444346, loss_ce: 0.307816
2022-04-07 09:58:44,090 iteration 67 : loss : 0.444950, loss_ce: 0.302052
2022-04-07 09:58:45,267 iteration 68 : loss : 0.440265, loss_ce: 0.301018
2022-04-07 09:58:46,853 iteration 69 : loss : 0.457300, loss_ce: 0.297363
2022-04-07 09:58:47,983 iteration 70 : loss : 0.463936, loss_ce: 0.295918
2022-04-07 09:58:48,970 iteration 71 : loss : 0.429333, loss_ce: 0.292477
2022-04-07 09:58:50,340 iteration 72 : loss : 0.459744, loss_ce: 0.282873
2022-04-07 09:58:52,093 iteration 73 : loss : 0.434767, loss_ce: 0.270460
2022-04-07 09:58:53,434 iteration 74 : loss : 0.433532, loss_ce: 0.268495
2022-04-07 09:58:54,741 iteration 75 : loss : 0.438402, loss_ce: 0.261220
2022-04-07 09:58:55,845 iteration 76 : loss : 0.419886, loss_ce: 0.260916
2022-04-07 09:58:56,805 iteration 77 : loss : 0.407947, loss_ce: 0.254215
2022-04-07 09:58:57,653 iteration 78 : loss : 0.449807, loss_ce: 0.256957
2022-04-07 09:58:58,558 iteration 79 : loss : 0.439881, loss_ce: 0.249359
2022-04-07 09:58:59,714 iteration 80 : loss : 0.492248, loss_ce: 0.259058
2022-04-07 09:59:00,666 iteration 81 : loss : 0.405524, loss_ce: 0.226364
2022-04-07 09:59:01,901 iteration 82 : loss : 0.401717, loss_ce: 0.224050
2022-04-07 09:59:03,579 iteration 83 : loss : 0.439901, loss_ce: 0.227627
2022-04-07 09:59:04,785 iteration 84 : loss : 0.398974, loss_ce: 0.227940
2022-04-07 09:59:06,636 iteration 85 : loss : 0.401444, loss_ce: 0.216903
2022-04-07 09:59:07,971 iteration 86 : loss : 0.384473, loss_ce: 0.210121
2022-04-07 09:59:08,855 iteration 87 : loss : 0.395875, loss_ce: 0.216802
2022-04-07 09:59:10,666 iteration 88 : loss : 0.415140, loss_ce: 0.219138
2022-04-07 09:59:12,396 iteration 89 : loss : 0.420952, loss_ce: 0.204963
2022-04-07 09:59:13,185 iteration 90 : loss : 0.390084, loss_ce: 0.201744
2022-04-07 09:59:14,527 iteration 91 : loss : 0.369615, loss_ce: 0.186718
2022-04-07 09:59:16,058 iteration 92 : loss : 0.366154, loss_ce: 0.188932
2022-04-07 09:59:17,431 iteration 93 : loss : 0.370677, loss_ce: 0.187316
